title
朱立倫卸任後缺席新北市升旗典禮 現身總統府前升旗典禮
合作2020？元旦健走同框王金平受矚目 柯文哲神回應
北市跨年晚會淋雨看電競被罵翻！誰的錯？徐巧芯點名「她」
央視宣傳新疆「再教育營」 焦糖哥哥：今日新疆鬼島未來！
蔡英文提「不合作哪來兩岸一家親」針對你？柯文哲：不會啦
跨年嗡嗡嗡晚會、升旗、健走 柯P嘆：天啊！錢太難賺了
葛來儀否認邀柯訪美批柯幕僚扭曲事實 柯文哲：典型假新聞
謝和弦喊「我是台灣人」被卡 柯文哲納悶：不然是什麼人？
綠營性猥褻案疑雲！首度見面卻給提款卡？鄭世曜：做善事
迎曙光、開口唱英文歌 韓國瑜掛祈願卡還是「這五個字」
綠營爆性猥褻案！正妹黨工遭前輩載至山區強行摸乳襲臀
「我唱給大家聽！」高嘉瑜發豪語：下次跨年別找明星了
「青年度假打工」多一國 歐洲小國盧森堡提供每年40個
拚民生也要守主權 蔡英文：為兩岸交流設立三道防護網
蔡英文新年談話：2019年是台商回台投資最佳時刻
蔡英文提「四個必需」 呼籲中國需正視中華民國台灣的存在
蔡英文發表新年談話 兩岸關係強調四個必需、三道防護網
新年目標 蔡英文：全力衝刺民生妥善照顧年輕人、經濟弱勢
人生短短幾個秋啊～吳萼洋、李麗芬「夢幻合體」跨年夜高歌
蔡英文：連疫情防治都不能真心合作，哪來兩岸一家親？
看不下去！「韓國瑜是怎樣收割蔡政府政績的」王浩宇揭真相
先追曙光再衝升旗！行程跑好跑滿 韓國瑜：國泰民安靠自己
高雄跨年湧80萬人破紀錄？高捷：R6出站僅5萬人次
總統府元旦升旗典禮後 法稅改聯盟高呼口號抗議遭驅離
元旦升旗／蔡英文著空軍夾克唱國歌 與柯文哲零互動
韓國瑜稱「80萬人擠爆夢時代」 網酸：還缺9萬韓粉沒來
阿妹救了阿北！台北晚會「被罵爆」 直到阿妹嗨唱才高潮
盧秀燕跨年致詞僅10秒 自揭「粉絲」真相…幕僚全笑了！
柯文哲跨年直播送彩蛋 大唱「怪怪的」認證柯粉新年願望
台北跨年／熊讚一起倒數！新年願望睡得飽？柯文哲：很困難
高雄跨年／韓國瑜誇80萬人擠爆夢時代！自豪破3紀錄
選後兩樣情！陳其邁好感度爆衝 逆轉勝過韓國瑜
2018最後一天…陳其邁換封面照告白 真心話暖哭高雄人
寶可夢來高雄？潘恆旭指定稀有寶要小智 網酸：他是訓練師
高雄鴨有名？韓國瑜想辦烤鴨賽 市民：為何不是岡山羊肉
共軍武力攻台恐釀重大傷亡 國際軍網：比諾曼第登陸還慘
黑歷史網路瘋傳！差太多遭疑整型 高嘉瑜：化妝進步
卓榮泰勉民進黨：這個黨誰沒有跌倒過，但跌倒後要再站起來
月薪6萬＋觀光客千萬…他列蔡英文五政績 網讚海放馬英九
西子灣送2018夕陽被問與妻約會 韓國瑜妙回：唱夜襲！
2020是否與國民黨合作？ 張善政：做好自己的準備
剛上任就被自家人捅刀 他勸韓國瑜先做「這3件事」
盼高雄深圳路線遭酸繼續一日一幹話 韓國瑜這樣回應
斷總統路？有心人謊稱王金平「腦開過刀」 藍茶壺風暴上演
看不起想發財年輕人？韓國瑜批辜寬敏：沒吃過苦講風涼話
跨年晚會放閃！韓國瑜將偕妻唱「月亮代表我的心」
蔣月惠：「靠陸客發大財 壓迫底層百姓生存權力」引論戰
自爆兩個人格！柯文哲po出2018施鹽特輯、今晚開直播
蔡英文公開慰留賴清德後 蔡賴明元旦升旗互動引關注
中國最紅議員！「恰吉寶寶」成陸客朝聖打卡景點
